GENDER_R,AGE_R,AGEG5LFS,AGEG10LFS,ED_Level,EMPloyed,Full_part,self_employed,Years_wk,pub_priv,Mgr,Mgr_c,work_flexM,work_lrnM,liter_use,num_use,act_lrn,pvlitM,pvnumM,NFE12,FNFAET12,FNFE12JR,FNFAET12JR,FNFAET12NJR,NFEHRS
1,50,8,4,3,1,1,1,23,1,1,2,1,2,3.4166666666666665,3,3.3333333333333335,306.0379,281.277715,1,1,1,1,0,40
2,50,8,4,1,1,1,1,15,1,2, ,2,2.3333333333333335,1.1666666666666667,2,2.3333333333333335,223.73905599999998,195.48065400000002,0,0,0,0,0,0
1,50,8,4,3,1,1,1,24,1,1,2,5,2.6666666666666665,4.083333333333333,3.6666666666666665,3.8333333333333335,278.581107,290.306798,1,1,1,1,0,48
1,50,8,4,3,1,1,1,28,2,1,1,2.75,2,2.8333333333333335,1.1666666666666667,3.6666666666666665,302.8794450000001,316.228689,1,1,1,1,0,160
1,50,8,4,3,1,1,1,27,2,1,2,2.25,3,3.1666666666666665,2.1666666666666665,3.3333333333333335,329.7276130000001,310.00479299999995,1,1,1,1,0,160
1,50,8,4,3,1,1,1,23,1,1,1,3.5,3.3333333333333335,3.4166666666666665,2.1666666666666665,3,254.34045999999998,236.435585,1,1,1,1,0,80
1,50,8,4,2,1,1,1,30,1,2, ,1.5,2.3333333333333335,2.6666666666666665,1,2.8333333333333335,271.313675,253.50120900000002,1,1,1,1,0,12
1,50,8,4,3,1,1,2,25,1, , ,3,3,2.75,2.3333333333333335,2.3333333333333335,243.018662,240.66386699999998,1,1,1,1,0,8
2,50,8,4,1,1,1,1,5,1,2, ,1.75,2,1,1.3333333333333333,2.6666666666666665,199.06872999999996,170.50241599999998,1,1,1,1,0,8
1,50,8,4,2,1,1,1,25,1,1,1,3,2,3.1666666666666665,2.1666666666666665,5,239.841702,234.572613,1,1,1,1,0,2
1,50,8,4,3,1,1,1,22,2,2, ,4,2,4.083333333333333,1.3333333333333333,4.5,348.21202600000004,361.78289499999994,1,1,1,1,0,120
